sku,fields.weight.value,fields.package_height,fields.package_width.value,fields.package_length.value,fields.height.value,fields.width.value,fields.length.value,fields.package_weight.value,fields.abn_size,fields.target_color,fields.frame_color,fields.color,fields.size
OP6001-ST-BK-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Black,Black,Black,
OP6001-ST-DKGR-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Dark Green,
OP6001-ST-WW-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Beige,Beige,Weathered Wood,
OP6001-ST-GY-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Gray,Gray,Gray,
OP6001-ST-NB-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Navy Blue,
OP6001-ST-RD-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Red,Red,Red,
OP6001-ST-LM-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Lime,
OP6001-ST-DKBR-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Brown,Brown,Dark Brown,
OP6001-ST-WH-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,White,White,White,
OP6001-ST-PB-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Blue,Blue,Pacific Blue,
OP6001-ST-OR-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,Orange,Orange,Orange,
OP6001-ST-TQ-TAG,42,23.1,33.5,7,36.4,24,33.5,45.3,,green,green,Turquoise,
OP6014-WG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Weathered Gray,
OP6014-TK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,blue,beige,Teak,
OP6014-CG-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Gray,Gray,Charcoal Gray,
OP6014-WH-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,White,White,White,
OP6014-NB-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,blue,blue,Navy,
OP6014-TP-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Beige,Beige,Taupe,
OP6014-BK-TAG,39.9,6.5,39.5,23.5,37.8,32.2,37.2,45,,Black,Black,Black,
2001-AC2-CS-SD-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,,Sand,
2001-AC2-CS-GY-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Gray,,Gray,
2001-AC2-CS-BK-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Black,Black,Black,
2001-AC2-CS-DKGR-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,green,Green,Dark Green,
2001-AC2-CS-OR-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Orange,Orange,Orange,
2001-AC2-CS-DKBR-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Brown,Brown,Dark Brown,
2001-AC2-CS-WW-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Beige,Beige,Weathered Wood,
2001-AC2-CS-PB-TAG,36,8.6,22.8,36,35.2,29.2,32,45,,Blue,Blue,Pacific Blue,
