sku,group_skus.0
2001-AC2-CS-PB-TAG,variant-136
2001-AC2-CS-WH-TAG,variant-136
2001-AC2-CS-TQ-TAG,variant-136
2001-AC2-CS-LM-TAG,variant-136
2001-AC2-CS-NB-TAG,variant-136
2001-AC2-CS-TK-TAG,variant-136
2001-AC2-CS-RD-TAG,variant-136
OP6001-DKBR-3-TAG,variant-141
OP6001-WW-3-TAG,variant-141
OP6001-RD-3-TAG,variant-141
OP6001-BK-3-TAG,variant-141
OP6001-OR-3-TAG,variant-141
OP6001-WH-3-TAG,variant-141
OP6001-LM-3-TAG,variant-141
OP6001-TQ-3-TAG,variant-141
OP6001-NB-3-TAG,variant-141
OP6001-PB-3-TAG,variant-141
OP6001-DKGR-3-TAG,variant-141
OP6001-GY-3-TAG,variant-141
OP124-BK-TAG,variant-146
OP124-WG-TAG,variant-146
OP124-TK-TAG,variant-146
OP124-WH-TAG,variant-146
OP124-NB-TAG,variant-146
OP124-TP-TAG,variant-146
OP124-CG-TAG,variant-146
2001AOC-OR-TAG,variant-151
2001AOC-RD-TAG,variant-151
2001AOC-GY-TAG,variant-151
2001AOC-TK-TAG,variant-151
2001AOC-WH-TAG,variant-151
2001AOC-TQ-TAG,variant-151
2001AOC-SD-TAG,variant-151
2001AOC-WW-TAG,variant-151
2001AOC-BK-TAG,variant-151
2001AOC-DKGR-TAG,variant-151
2001AOC-LM-TAG,variant-151
2001AOC-PB-TAG,variant-151
2001AOC-DKBR-TAG,variant-151
OP6001-AOC-PB-TAG,variant-156
OP6001-AOC-WW-TAG,variant-156
OP6001-AOC-RD-TAG,variant-156
OP6001-AOC-WH-TAG,variant-156
OP6001-AOC-NB-TAG,variant-156
OP6001-AOC-OR-TAG,variant-156
OP6001-AOC-TQ-TAG,variant-156
OP6001-AOC-LM-TAG,variant-156
OP6001-AOC-GY-TAG,variant-156
OP6001-AOC-DKBR-TAG,variant-156
OP6001-AOC-BK-TAG,variant-156
OP6001-AOC-DKGR-TAG,variant-156
OP6017-BK-TAG,variant-161
OP6017-WG-TAG,variant-161
