sku,fields.weight.value,fields.package_height,fields.package_width,fields.package_length,fields.height.value,fields.width.value,fields.length.value,fields.package_weight,fields.abn_size,fields.target_color,fields.target_sku,fields.frame_color,fields.color,fields.size
OP2027-WH-TAG,350.5,22.0,34.0,7.0,32.75,26.75,35.75,213.0,,White,WWT210092,White,White,
OP2027-NB-TAG,350.5,22.0,34.0,7.0,32.75,26.75,35.75,213.0,,Blue,WWT210085,Blue,Navy Blue,
OP2027-GY-TAG,350.5,22.0,34.0,7.0,32.75,26.75,35.75,213.0,,Gray,WWT210083,Gray,Gray,
OP2027-DB-TAG,350.5,22.0,34.0,7.0,32.75,26.75,35.75,213.0,,Brown,WWT210081,Brown,Dark Brown,
OP2027-WW-TAG,350.5,22.0,34.0,7.0,32.75,26.75,35.75,213.0,,Brown,WWT210093,Brown,Weathered Wood,
OP2027-TQ-TAG,350.5,22.0,34.0,7.0,32.75,26.75,35.75,213.0,,Blue,WWT210091,Blue,Turquoise,
OP2028-WW-TAG,350.5,22.0,34.0,7.0,32.75,26.75,35.75,315.0,,Brown,WWT210107,Brown,Weathered Wood,
OP2028-NB-TAG,350.5,22.0,34.0,7.0,32.75,26.75,35.75,315.0,,Blue,WWT210099,Blue,Navy Blue,
OP2028-BK-TAG,350.5,22.0,34.0,7.0,32.75,26.75,35.75,315.0,,Black,WWT210094,Black,Black,
OP2028-DB-TAG,350.5,22.0,34.0,7.0,32.75,26.75,35.75,315.0,,Brown,WWT210095,Brown,Dark Brown,
OP2028-TQ-TAG,350.5,22.0,34.0,7.0,32.75,26.75,35.75,315.0,,Blue,WWT210105,Blue,Turquoise,
OP2028-GY-TAG,350.5,22.0,34.0,7.0,32.75,26.75,35.75,315.0,,Gray,WWT210097,Gray,Gray,
OP2028-WH-TAG,350.5,22.0,34.0,7.0,32.75,26.75,35.75,315.0,,White,WWT210106,White,White,
OP6023-BK-TAG,38.0,22.0,34.0,7.0,36.75,29.5,33.0,42.0,,Black,WWT209912,Black,Black,
OP6023-DB-TAG,38.0,22.0,34.0,7.0,36.75,29.5,33.0,42.0,,Brown,WWT209913,Brown,Dark Brown,
OP6023-TQ-TAG,38.0,22.0,34.0,7.0,36.75,29.5,33.0,42.0,,Blue,WWT209923,Blue,Turquoise,
OP6023-WW-TAG,38.0,22.0,34.0,7.0,36.75,29.5,33.0,42.0,,Brown,WWT209925,Brown,Weathered Wood,
OP6023-NB-TAG,38.0,22.0,34.0,7.0,36.75,29.5,33.0,42.0,,Blue,WWT209917,Blue,Navy Blue,
